stt,text,label
52,"Chiều nay, tôi nhận được tin nhắn từ người bạn cũ, đã lâu không liên lạc, hỏi thăm một cách đột ngột. Tôi tưởng là nhầm số, nhưng khi kiểm tra lại, thật sự là anh ấy. Cái cảm giác như bị giật mình giữa dòng đời quen thuộc, khiến tôi ngẩn ngơ trong vài phút, không biết nên vui hay sốc.",Surprise
53,"Hôm nay đi chơi về thấy lòng nặng lắm. Tối qua anh ấy nhắn tin nói sẽ đi chơi với nhóm bạn, nhưng không hề hỏi tôi có muốn đi không. Tôi cũng không dám hỏi vì sợ bị tổn thương. Chẳng biết làm sao nữa, chỉ ngồi im lặng nhìn điện thoại, lòng cứ trào lên những kỷ niệm xưa. Cái cảm giác bị xem nhẹ như thế này thật đau đớn. Tôi cố gắng không khóc, nhưng nước mắt vẫn chảy. Không hiểu sao tình cảm của mình lại bị coi như không quan trọng đến vậy.",Sadness
54,"Sáng nay tôi nhận được thông báo từ ngân hàng rằng tài khoản của tôi đã bị trừ một khoản tiền không rõ nguồn gốc. Tôi ngồi im lặng nhìn màn hình, tay run rẩy, không biết nên phản ứng thế nào. Đã bao lâu rồi tôi chưa từng gặp tình huống như vậy? Cố gắng nhớ lại những giao dịch gần đây, tôi không thể tìm ra điểm nào sai trật. Cảm giác bối rối và hoang mang trào dâng, như thể có thứ gì đó đang âm thầm che giấu sau lưng tôi. Tôi không biết mình sẽ làm gì tiếp theo, nhưng trái tim tôi đập thình thịch, như muốn thoát khỏi cái cảm giác bất ngờ này.",Fear
55,"Tôi vẫn còn nhớ như in cái chuyện ngày hôm qua khi mẹ tôi gọi điện vào đúng lúc tôi đang bận họp công việc. Cô ấy hỏi tôi xem tôi có thể về nhà ngay được không, vì chị gái tôi đã có thai và cần phải đến bệnh viện. Tôi đã cố gắng giữ bình tĩnh, nhưng cô ấy vẫn tiếp tục nói rằng tôi phải về ngay lập tức. Tôi đã phải nói với cô ấy rằng tôi không thể rời khỏi cuộc họp và cô ấy phải chờ đợi tôi trong một giờ nữa. Sau đó, cô ấy mới nhận ra lỗi của mình và xin lỗi tôi. Tôi không thể không cười sau khi cô ấy nói vậy.",Other
56,"Tối qua mẹ đột ngột bảo tôi đi chợ cùng, nói là có thứ quan trọng cần mua. Tôi tưởng là rau củ hay đồ ăn thông thường, ai ngờ đến nơi mới biết mẹ muốn mua cái gì. Không phải thứ gì to tát, chỉ là một chiếc ghế gỗ nhỏ, cũ kỹ, có lẽ là của bố năm xưa. Mẹ nói là để làm kỷ niệm, nhưng tôi thấy lòng cứ ngỡ ngàng, không hiểu vì sao mẹ lại nhớ đến cái ghế đó. Cái cảm giác bất ngờ ấy khiến tôi cười mà cũng thấy xót xa, không biết vì điều gì.",Surprise
57,"Tôi vừa nhận được thông tin từ trưởng nhóm rằng dự án quan trọng mà tôi đang thực hiện có thể bị hủy bỏ bất cứ lúc nào vì lý do tài chính. Tôi không thể tin được điều này, tất cả công sức của tôi và đồng nghiệp đã đổ vào dự án này. Tôi nhớ khi bắt đầu dự án, chúng tôi đều rất phấn khích và tự tin, nhưng giờ đây, tôi cảm thấy như đang bước trên không trung, không biết mình sẽ rơi xuống đâu.

Tôi đang cố gắng tập trung vào công việc nhưng tâm trí tôi luôn bận rộn với những suy nghĩ tiêu cực. Tôi tự hỏi liệu mình có còn phù hợp để làm việc tại công ty này nữa hay không. Tôi đã dành nhiều thời gian để tìm hiểu về dự án, tham gia các cuộc họp và lập kế hoạch, nhưng tất cả có thể bị lãng phí nếu dự án bị hủy bỏ.

Tôi đang cố gắng giữ bình tĩnh và chờ đợi thông tin chính thức từ trưởng nhóm, nhưng tôi không thể giúp mình cảm thấy lo lắng. Tôi chỉ mong muốn mọi thứ sẽ sớm rõ ràng và tôi có thể tiếp tục làm việc với dự án mà không bị ảnh hưởng bởi những dự đoán tiêu cực.",Sadness
58,"Tôi đang ngồi trên giường, nhìn thấy hình ảnh bố đi làm từ sáng chưa về đến giờ. Mẹ nói đã gặp tai nạn xe hơi lúc đi làm, nhưng không biết là bao nặng. Bố luôn nói với tôi là phải bình tĩnh, nhưng khi nghĩ về việc bố có thể bị thương, tôi không thể đợi thêm. Tôi muốn gọi điện cho bố ngay lập tức, nhưng mẹ ngăn tôi, nói sẽ chờ đến tối mới có thông tin cụ thể hơn. Tôi cảm thấy một luồng không ổn định đang lăn trong lòng, khiến tôi không thể ngừng nghĩ về điều tồi tệ có thể xảy ra. Bố sẽ được cứu sống? Tôi không thể làm gì ngoài việc mong chờ. Mẹ đang cố gắng giữ bình tĩnh, nhưng tôi thấy nỗi lo lắng đang nổi bật lên trong mắt bà. Tối này, chúng ta sẽ biết chắc chắn hơn về tình trạng của bố.",Sadness
59,"Ngày hôm qua mưa to đột ngột, tôi đang đi bộ về nhà thì trời đổ mưa như trút nước. Tôi vội vàng chạy vào cái quán cơm nhỏ ven đường, nhưng cửa đã đóng kín. Bực mình, tôi quyết định đứng dưới mưa đợi, vừa tát nước mưa vừa ngắm nhìn những giọt nước rơi xuống mái tóc tôi. Sau vài phút, trời ngừng mưa, tôi đi tiếp, vẫn còn ướt đẫm, nhưng thấy vui vì không bị phạt vì đến muộn.",Anger
60,"Tôi vừa xem một bài đăng trên mạng xã hội về vụ tấn công mạng vừa xảy ra tại một công ty lớn. Những thông tin được tiết lộ về mức độ nghiêm trọng của vụ tấn công khiến tôi cảm thấy không thể tin vào mắt mình. Tôi bắt đầu tự hỏi liệu tôi có thực sự an toàn khi sử dụng mạng xã hội hay không, liệu những thông tin cá nhân của tôi có bị lộ hay không.",Fear
61,"Tôi vẫn chưa thể tin vào điều vừa xảy ra. Hôm nay, bác sĩ đã thông báo cho tôi rằng tôi đã khỏi bệnh ung thư hoàn toàn. Tôi nhớ hôm trước, khi chúng tôi thực hiện xét nghiệm, họ nói rằng có thể còn một ít tế bào ung thư còn tồn tại trong cơ thể. Nhưng hôm nay, khi họ cho tôi biết kết quả, tôi đã cảm thấy như cả thế giới đang dừng lại.

Tôi vẫn nhớ lại những ngày tháng đi theo chương trình điều trị, từng bước một, từng liều lượng thuốc, từng cuộc họp với bác sĩ. Tôi đã từng nghĩ rằng sẽ phải trải qua rất nhiều thứ khó khăn hơn nữa, nhưng tôi đã không thể tưởng tượng được kết quả như thế này. Bác sĩ nói rằng tôi đã có thể sống một cuộc đời bình thường như mọi người khác, không còn lo lắng về bệnh tật nữa. Tôi cảm thấy như một khối đá nặng được gỡ bỏ khỏi lòng tôi.

Tôi không thể tránh khỏi cảm giác ngạc nhiên trước điều đã xảy ra. Tôi vẫn cần thời gian để chấp nhận và thích nghi với tình hình mới. Tôi hy vọng rằng tôi sẽ không quên được cảm giác nhẹ nhõm này trong tương lai.",Enjoyment
62,"Ngày hôm nay mưa to gió lớn như muốn quật ngã cả nhà, mà tôi còn phải đi làm thêm, trời đất có vẻ đang giận tôi vì để bụng chuyện cũ.",Anger
63,"Chiều nay thấy một video livestream bán hàng, người bán dùng tay không rửa sạch để chạm vào mặt khách, mùi hôi tanh nồng trào lên, lòng chẳng thể chịu nổi.",Disgust
64,"Chiều nay đi làm về, thấy một người đàn ông ngồi bên vỉa hè, cởi áo sơ mi để hút thuốc, tay cầm bao thuốc, miệng nhổ trấu đầy ngập mặt. Hơi thuốc lan ra, kèm theo mùi hôi khó chịu, khiến tôi phải quay bước. Tôi không hiểu vì sao người ta lại để mình sống trong không gian ô uế như thế.",Disgust
65,"Tôi vẫn còn nổi đốm sau khi đi học hôm nay. Lúc trời nắng nóng, cô giáo vẫn buộc chúng tôi mặc áo khoác ngoài lớp học. Tôi hiểu rằng cô ấy muốn chúng tôi thoải mái nhưng tại sao không để chúng tôi chọn cho mình? Tôi đã nhiều lần hỏi cô ấy về chuyện này nhưng cô ấy vẫn không thay đổi. Tôi cảm thấy như đang được ép vào một điều gì đó mà mình không đồng ý.",Anger
66,"Tôi vừa nhận được tin từ bạn gái cũ rằng cô ấy sắp trở lại Sài Gòn sau mấy năm xa cách, và không biết tại sao cô ấy lại muốn gặp tôi. Tôi còn ngồi đó, nhìn màn hình laptop, không thể tin được tin tức vừa được công bố. Cái đó không thể đúng được sao? Có thể nó chỉ là một ý tưởng nghịch ngợm, nhưng nó đã khiến tôi cảm thấy rất bối rối. Tôi cảm thấy như đang đi trong một giấc mơ, không thể nhận thức được bất cứ điều gì xung quanh mình.",Surprise
67,"Ngày hôm nay tôi uống hết 1 chai nước dừa mà không biết nó đã quá hạn, đầu óc như bị ai đó đổ đầy sơn đỏ, toàn là cảm giác nóng rát và bực tức, chỉ muốn tìm ai đó để mắng cho đã.",Anger
68,"Hôm nay đi chơi với bạn cũ, tưởng như xưa nhưng hóa ra chẳng còn gì cả. Cười ha hả như hồi cấp hai, nhưng rồi cũng chỉ là cái cười giả tạo của người đã đánh mất nhau. Thôi thì thôi, cũng chẳng có gì để tiếc nuối, chỉ là mình vẫn còn nhớ những lúc chúng ta từng vui vẻ thật sự.",Sadness
69,"Ngày hôm qua đi chợ về, mình vô tình phải bước qua cái thùng rác đang mở toang ở góc đường, bên trong toàn là rau củ bị dập nát, lẫn vài miếng thịt heo đã hỏng, còn vài cục phân... Mình không biết là mình có bị nhiễm trùng gì không, chỉ biết rằng mình muốn chạy thật nhanh, nhưng chân như dính vào bùn. Mình cố gắng giữ vẻ bình thường, nhưng mặt thì đỏ gay, tay run run, và trong lòng thì... khó chịu đến mức muốn xỉu. Nhìn lại mình, thấy mình cũng không khác gì mấy người khác, nhưng sao mình cứ thấy mình là người duy nhất có thể nhận ra sự bẩn thỉu đó trong một mùa hè nóng rát như thế này.",Disgust
70,"Hôm nay, tôi thức dậy vào lúc 5 giờ sáng để theo dõi bão nhiệt đới đang hướng đến khu vực của chúng ta. Theo dự báo, cơn bão sẽ đổ bộ vào hôm nay và mang theo gió mạnh và mưa lớn. Tôi không thể quên được hình ảnh những ngôi nhà bị phá hủy bởi gió bão trong năm ngoái, và tôi cảm thấy bất an khi nghĩ về khả năng chúng ta sẽ phải đối mặt với tình huống tương tự. Tôi đã chuẩn bị sẵn sàng đồ cần thiết, nhưng vẫn không thể tránh khỏi cảm giác lo lắng khi nghĩ về gia đình và bạn bè của mình. Tôi hy vọng rằng cơn bão sẽ không quá nghiêm trọng và chúng ta sẽ vượt qua được.",Fear
71,"Mẹ bảo tối nay phải dọn dẹp nhà, tôi sợ bà ấy phát hiện ra tôi giấu hộp kẹo dưới gầm giường, nhưng sợ hơn nữa là mẹ sẽ bắt tôi ăn hết cái kẹo đó mà không được mua thêm.",Fear
72,"Mẹ bảo tôi đi chợ sớm để giúp đỡ, nhưng tôi lại ngủ quên. Đến nơi thì mẹ đã mua hết thứ tôi cần, còn cái tôi định mua thì mẹ nói ""để lần sau"". Tôi tức đến mức muốn quay lại hỏi mẹ cái gì mà mẹ hiểu nhầm tôi như thế. Đúng là cái đầu óc tôi thật sự là một quả bóng bay, cứ phồng to rồi xì hơi mất thôi.",Anger
73,"Tôi vẫn ngồi đây, nhìn vào hình ảnh gia đình chúng tôi trong tháng trước. Mẹ tôi đã trở lại quê hương sau khi tôi hoàn thành đại học, để chăm sóc ông nội đã tuổi cao độ khổ. Tôi nhớ thấy mẹ tôi luôn cố gắng, dù có kiệt sức, nhưng vẫn yêu thương ông nội một cách tràn đầy. Tôi cũng đã quyết định quay lại quê hương để giúp mẹ tôi chăm sóc ông nội, nhưng rồi tôi lại bị tuyển dụng ở một công ty ở Hà Nội.

Tôi nhớ thấy đêm cuối cùng tôi ở nhà, mẹ tôi đã khóc khi tôi phải rời xa. Bà nói rằng không biết làm thế nào để sống mà không có con bên cạnh. Tôi cũng nhớ thấy hình ảnh chúng tôi ngồi ăn tối cùng nhau, mẹ tôi chuẩn bị món ăn yêu thích của ông nội, tôi và bố tôi trò chuyện về cuộc sống. Tất cả đều đã thay đổi kể từ khi tôi rời xa. Giờ đây, tôi chỉ có thể nhìn vào những hình ảnh đẹp đẽ trong quá khứ, và cảm thấy một loại đau đớn sâu sắc trong lòng.",Sadness
74,"Mình vừa thấy ảnh bạn ấy đăng lên story, toàn là hình ảnh ăn cắp đồ của người khác mà không chịu trả. Mình nghe xong liền nôn ói, không hiểu sao lại có người như vậy. Mình thật sự khó hiểu, làm bạn với người không trung thực được mấy. Mình cũng không muốn nhắc nhở, nhưng cái cảm giác ghê gớm quá, không thể chịu nổi.",Disgust
75,"Tôi đang ngồi tại phòng làm việc, nhìn vào danh sách công việc dài ngày của mình và cảm thấy tim đập nhanh. Thật ra, tôi chỉ cần hoàn thành báo cáo cuối tuần này nhưng mà sao tôi lại cảm thấy như đang đối mặt với một thách thức về sinh tử. Tôi nhìn vào trang tính trắng kia và thấy nó đang chờ đợi tôi tạo ra một tác phẩm nghệ thuật thực sự. Tôi cố gắng bắt đầu viết nhưng mà sao tay tôi lại không thể di chuyển? Có gì đó khiến tôi trở nên vô dụng như thế này, chỉ vì một báo cáo đơn giản! Tôi dường như đang trở thành một nhà văn, cố gắng tạo ra một tiểu thuyết kinh điển nhưng mà chỉ để hoàn thành công việc hàng ngày.",Fear
76,"Sáng nay đi học gặp bạn cùng lớp ném vỏ bì thuốc lá vào thùng rác, không phải trượt chân mà là trượt tay vì cái vỏ đó dính đầy chất nhờn đen kịt. Tôi nhìn mà muốn nhổ liền, nhưng vẫn cố nhịn, chỉ lắc đầu và đi xa.",Disgust
77,"Sáng nay đi học, thấy bạn cùng lớp ném rác xuống thùng nhưng không bỏ túi, để nguyên cả cái túi nilon đầy rác vào thùng. Nhìn thấy mà muốn ói, lòng đầy chán ghét.",Disgust
78,"Sáng nay đi làm gặp một cái nhìn thật sự khó chịu. Một người đàn ông đứng giữa đường, cởi áo khoác, vứt rác xuống đất rồi đi luôn, không quan tâm đến ai. Mình thấy ghê quá, muốn chạy lại nhắc nhở nhưng thôi, ngại lắm. Chuyện nhỏ mà lại khiến mình buồn nôn.",Disgust
79,"Tôi ngồi tại bàn làm việc, tay đút vào túi áo khoác, nhìn xung quanh phòng thực tập với cảm giác không chắc chắn. Ngày mai là ngày cuối cùng của dự án thực tập, và tôi vẫn chưa hoàn thành được những nhiệm vụ còn dang dở. Tôi lo lắng rằng nếu không hoàn thành đúng hạn, tôi sẽ bị đánh giá thấp trong mắt nhà tuyển dụng, và cơ hội việc làm sau khi tốt nghiệp sẽ bị ảnh hưởng.

Tôi đã dành cả tuần nay để làm việc trên dự án này, nhưng cảm giác không chắc chắn vẫn theo tôi đến tận bây giờ. Tôi lo lắng rằng tôi đã bỏ qua một số thông tin quan trọng, và những sai sót trong báo cáo của tôi có thể khiến cho dự án bị ảnh hưởng.

Tôi cố gắng tập trung vào công việc, nhưng tâm trí tôi cứ quay trở lại những nỗi lo lắng đó. Tôi biết rằng tôi phải hoàn thành được dự án này, nhưng cảm giác bất an đang chen lấn vào công việc của tôi, làm cho tôi trở nên kém hiệu quả hơn.

Tôi đang cảm thấy áp lực nặng nề vì thời gian hạn hẹp, và tôi biết rằng tôi phải làm gì đó để giảm bớt căng thẳng này. Tôi quyết định dành cả đêm này để làm việc trên dự án, hy vọng rằng tôi sẽ hoàn thành được nó đúng hạn.",Fear
80,"Mùa thu đến, lá vàng rơi nhẹ ngoài cửa sổ, tôi ngồi im lặng bên ly trà lạnh. Cơn gió heo may thổi qua, mang theo nỗi nhớ ai đó đã xa, để lại trong tim tôi nỗi buồn âm thầm mà chẳng ai hiểu.",Sadness
81,"Mình vừa thấy một status của ai đó đăng lên, toàn là những lời nói xấu về người khác mà không hề biết họ đã làm gì. Mình thấy ghét quá, cứ tưởng họ đang cố ý trút giận lên người khác mà không có lý do. Mình cũng không hiểu sao người ta lại đi nói những điều không đúng sự thật như thế, giống kiểu đang tìm kiếm sự chú ý chứ không phải giúp đỡ ai. Mình định comment phản bác nhưng rồi lại thôi, vì sợ sẽ bị hiểu lầm. Thật sự mình rất tức, không phải vì chuyện đó mà là vì cách họ xử lý vấn đề. Người ta có quyền nói xấu không? Không, mình không đồng ý với cách họ làm.",Anger
82,"Chiều nay mẹ nấu ăn rất ngon, cả nhà quây quần bên bàn cơm, cười nói rộn ràng. Con thấy lòng ấm áp, yên ổn hơn bao giờ hết.",Enjoyment
83,"Chiều nay đi chơi cùng bạn, tôi vô tình thấy anh ta nhét một cái gì đó vào túi quần rồi lẳng lặng bỏ đi. Tôi không hỏi, nhưng ánh mắt anh ta khi quay lại nhìn tôi khiến tôi khó chịu đến mức muốn chạy trốn. Cái cách anh ta cười, hời hợt và tự tin như thể chuyện đó chẳng có gì đáng tiếc. Tôi không biết anh ta đã làm gì, nhưng cái cảm giác trong lòng tôi như bị dơ bẩn, giống như vừa chạm vào thứ gì đó không nên. Tôi không nói gì, chỉ im lặng và cố gạt nó ra khỏi tâm trí, nhưng hình ảnh ấy vẫn còn đọng lại, làm tôi thấy ghê tởm và buồn nôn.",Disgust
84,"Sáng nay đi chợ thấy mẹ mua rau củ về, tớ liền hỏi ngay: “Mẹ mua đắt không?” Mẹ cười bảo: “Đắt, nhưng có món ngon mà.” Tớ mừng vì thấy mẹ quan tâm đến sức khỏe, lại còn tiết kiệm được vài ba chục nghìn. Chia sẻ với bố thì bố cũng gật đầu, nói: “Cố gắng chút nữa, sau này con sẽ lo được.” Tớ thấy tự hào vì mình đã biết lo toan cho gia đình, dù chỉ là nhỏ nhặt. Ngày hôm nay tớ cảm thấy mình lớn hơn rồi, không còn là đứa con nhỏ nữa.",Enjoyment
85,"Ngày hôm qua, tôi đã vô tình phát hiện ra một cuốn nhật ký cũ của mẹ, được giấu kín trong ngăn kéo phía dưới tủ. Tôi không biết vì sao mẹ lại giữ nó đến tận bây giờ, nhưng khi mở ra, từng trang giấy đều ghi lại những kỷ niệm, những suy tư và cả những nỗi niềm mà tôi chưa từng hiểu rõ. Tôi ngồi lặng lẽ đọc, lòng bỗng thấy rộn ràng, như có thứ gì đó vỡ vụn trong tim. Mẹ đã từng khóc, từng giận, từng mơ ước... và tất cả đều không ai kể cho tôi nghe. Tôi không biết nên cười hay khóc, chỉ biết rằng tôi đã hiểu mẹ hơn, dù vẫn còn nhiều điều chưa rõ.",Sadness
86,"Chiều nay, tôi vô tình thấy một video đăng tải trên mạng, hình ảnh một nhóm người tụ tập ở khu vực công cộng, cười nói vui vẻ, nhưng không khí trong đó thật khó chịu. Một người trong nhóm liên tục nhổ nhau, rồi dùng tay lau miệng, miệng họ thì cười, tay lại tiếp tục hành động đó. Tôi không biết vì sao mình lại thấy buồn nôn, nhưng cảm giác ấy dâng trào từng chút một. Hành động ấy thật sự khiến tôi khó chịu, không phải vì nó gây hiểu lầm, mà vì nó thể hiện sự thiếu tôn trọng, không chỉ với người khác mà cả với chính mình. Tôi xem đến phút cuối, rồi tắt luôn, không muốn tiếp xúc thêm.",Disgust
87,"Tôi vừa nhận được điểm thi đại học. Có gì đó không ổn, vì tôi nghĩ mình đã ôm đồm. Nhưng rồi tôi nhìn lại bảng điểm và thấy số điểm khiến tôi sững sốt. Tôi thậm chí còn không nhớ rõ mình đã làm đề thế nào. Một cảm giác kỳ diệu đang lan tỏa trong lòng tôi, tôi chỉ có thể nói là: ""Chuyện này thật điên!",Surprise
88,"Hôm nay, tôi đến công ty thực tập một lần nữa để tiếp tục hoàn thành dự án đang được yêu cầu. Sau khi nghe giảng viên hướng dẫn, tôi đã bắt đầu đọc lại tài liệu và lập kế hoạch làm việc cho tuần tới. Tôi đang cố gắng sắp xếp thời gian và nhiệm vụ một cách khoa học để đảm bảo hoàn thành công việc đúng hạn.",Other
89,"Sáng nay em làm bài kiểm tra toán xong, vừa nộp xong là chạy ngay ra ngoài, cười toe toét vì đúng cả đề, không cần sửa chữa gì cả, nghe thầy khen là thấy mặt sáng hẳn lên.",Enjoyment
90,"Ngày hôm nay mưa to đùng đùng, gió thổi như muốn quật ngã cả nhà. Mình vừa đi làm về, mưa dội đầu như trời muốn phạt. Mình cố gắng chạy về, nhưng nước mưa vẫn tràn vào áo, làm mình thấy rất là... bất lực. Đúng là thời tiết cũng có lúc cáu gắt như mình!",Anger
91,"Sáng nay thấy Tú nhắn tin hỏi thăm lạ thường, lòng mình cứ rối bời. Không biết vì sao anh ấy lại nhắn như thể đang dè chừng điều gì đó. Mình cố hỏi vài câu, nhưng giọng run rẩy quá, sợ rằng mình đang làm tổn thương anh ấy.",Fear
92,"Hôm nay, tôi không thể quên được cuộc trò chuyện với anh Hào tối qua. Khi anh nói về tương lai chúng ta, tôi cảm thấy một luồng cảm xúc hỗn loạn trong lòng mình. Anh nói rằng anh muốn chúng ta kết hôn và xây dựng một gia đình, nhưng tôi không thể phủ nhận được cảm giác sợ hãi đang đè nặng lên tôi. Tôi chưa sẵn sàng để bước vào một mối quan hệ nghiêm túc như vậy, đặc biệt là khi nghĩ về những trách nhiệm và thách thức mà chúng ta sẽ phải đối mặt. Tôi lo lắng về tương lai của chúng ta, về khả năng chúng ta sẽ không phù hợp với nhau sau nhiều năm chung sống. Tôi cũng không thể quên được những lúc chúng ta khác biệt về ý kiến và quan điểm, liệu chúng ta có thể vượt qua những khác biệt đó hay không. Tôi biết rằng tôi cần thời gian để suy ngẫm và tìm hiểu sâu hơn về cảm xúc của mình, nhưng hiện tại, tôi vẫn cảm thấy không chắc chắn về quyết định của mình. Tôi hy vọng rằng tôi có thể tìm được sự rõ ràng và tự tin trong lòng mình trong thời gian tới.",Other
93,"Buổi sáng mưa to, tôi chạy vội ra ngoài thì bị trượt chân, té nhào vào cái cây gần nhà. Mưa không ngừng, tôi đứng im một lúc rồi quay về, tay vẫn đang cầm cái áo mưa mà không biết đã mặc hay chưa.",Anger
94,"Ngày hôm nay thật đáng nhớ khi tôi nhận được số tiền thưởng kỳ vọng từ công ty. Tôi đã dành cả tuần để tiết kiệm từng đồng nhỏ, và giờ đây, tôi cảm thấy lòng nhẹ nhõm, như được thở phào sau một thời gian dài lo toan. Tôi quyết định mua một cuốn sách cũ mà đã mơ ước từ lâu, cảm giác được thỏa mãn những mong ước nhỏ bé thực sự khiến tôi hài lòng.",Enjoyment
95,"Tôi vẫn chưa thể quên được giọng nói của Hằng khi cô ấy nói chuyện với tôi về kế hoạch du lịch của mình. Chúng tôi đã lên kế hoạch cùng nhau để đến Phú Quốc vào tháng sau, và Hằng đã hứa sẽ mời tôi tham gia cùng đoàn. Nhưng hôm nay, khi tôi hỏi cô ấy về thông tin vé máy bay, Hằng đã trở nên rất khó chịu và nói rằng cô ấy đã thay đổi kế hoạch và sẽ đi cùng gia đình đến Bali thay vì Phú Quốc. Tôi cảm thấy không chắc chắn về việc liệu tôi có được mời tham gia cùng đoàn hay không, và tôi bắt đầu lo lắng về việc mình sẽ không thể tham dự chuyến đi mà chúng tôi đã lên kế hoạch cùng nhau. Tôi không thể hiểu tại sao Hằng lại thay đổi kế hoạch như vậy, và tôi cảm thấy như mình đang bị bỏ rơi. Tôi hy vọng cô ấy sẽ giải thích cho tôi lý do của sự thay đổi này.",Sadness
96,"Hôm nay tôi thức dậy muộn hơn thường lệ vì đêm qua tôi thức khuya làm bài luận mà không thể hoàn thành. Khi bắt đầu làm bài, tôi cảm thấy mệt mỏi và không thể tập trung. Tôi đã cố gắng nhiều lần nhưng cuối cùng cũng quyết định đi ngủ vì không thể tiếp tục. Bây giờ tôi phải đối mặt với ngày học mà chưa kịp hoàn thành bài, cảm giác thất vọng và lo lắng đã xuất hiện trong tâm trí tôi. Tôi sẽ cố gắng hoàn thành bài trong lớp học sau nhưng vẫn cảm thấy không chắc chắn về kết quả cuối cùng. Tất cả những điều này khiến tôi trở nên khó chịu và không thể tập trung vào bài học của mình.",Fear
97,"Hôm nay tôi được kiểm tra sức khỏe và bác sĩ vừa thông báo cho tôi rằng tôi đã giảm được 5kg sau 2 tháng tập luyện và thay đổi lối sống. Tôi rất vui vì nỗ lực của mình đang mang lại kết quả như mong muốn. Tôi nhớ lại những lúc khó khăn, khi phải kiên trì thực hiện chế độ ăn uống lành mạnh và tham gia các buổi tập luyện khắc nghiệt. Nhưng bây giờ, nhìn vào số cân đã giảm, tôi biết rằng mọi công sức đều đáng giá. Tôi tự hào về bản thân vì đã vượt qua được những thử thách và tiếp tục hướng tới mục tiêu sức khỏe tốt hơn.",Enjoyment
98,"Hôm nay tôi đi thực tập tại công ty mới, tôi thấy mình không được trang bị đầy đủ về mặt tài liệu cũng như hướng dẫn công việc, tôi đã cố gắng tìm hiểu và hỏi đồng nghiệp nhưng họ không thể giúp đỡ được, khiến tôi không thể hoàn thành công việc đúng hạn. Tôi cảm thấy bực mình khi phải đối mặt với những khó khăn không cần thiết này, đặc biệt là khi tôi biết mình có thể làm tốt hơn nếu chỉ được hỗ trợ đúng mức. Tôi nghĩ mình sẽ phải nói chuyện với người quản lý để tìm ra giải pháp cho vấn đề này.",Anger
99,"Sáng nay đi làm thấy trời xám đặc, gió thổi như muốn xé toạc mái nhà. Mình lo lắng không biết mưa lớn hay ngập đường, nhưng đến chiều thì hóa ra chỉ mưa nhẹ, đúng kiểu ""đau lòng vì đã lo lắng vô lý"". Cũng may, không có chuyện gì xảy ra, nhưng mình vẫn cảm thấy mình như đang chạy marathon mà không biết đích đến ở đâu.",Fear
100,"Chiều nay đi chợ thấy một chú bò bị nhốt trong góc, mắt đỏ hoe, chắc đang khóc vì nhớ đồng đội. Tôi cố tình quay lại nhìn nó vài lần, rồi vội vàng chạy mất. Về nhà vẫn tưởng mình đang làm điều gì đó nghiêm trọng, hóa ra chỉ là một chú bò buồn thiu.",Sadness
101,"Chiều nay em nhắn tin hỏi anh có đi chơi không, anh trả lời ""đang bận"". Em không hỏi thêm, cũng không nhắn gì khác. Anh không gọi em, em cũng không gọi anh. Có lẽ cả hai đều im lặng, để không khí giữa chúng tôi cứ thế trôi qua mà không cần phải nói điều gì.",Sadness
102,"Anh gọi điện hỏi em có đi chơi không, em nói đang bận. Anh im lặng vài giây rồi cúp máy. Tôi đưa tay vào túi, lòng như có vật gì đó cộm cộm, không rõ là gì.",Other
103,"Sáng nay dậy thì phát hiện mình bị mất tiếng, không biết vì sao. Nhìn vào gương thấy mặt mình vẫn bình thường, nhưng khi mở miệng thì toàn tiếng khẽ khàng, như đang nói chuyện với một người không có mặt. Thử gọi ai đó thì không ai thấu, chỉ có gió thổi qua cửa sổ mà cười hi ha. Buồn quá, mình quyết định đi mua thuốc bổ, nhưng quên mất mình đã mua hết tháng trước. Cuối cùng cũng đi nhờ anh hàng xóm, người ta nói ""đừng ăn nhiều đồ cay nữa"", thì mình mới nhớ mình đã ăn bò xít suốt tuần qua.",Sadness
104,"Tôi vẫn chưa thể tin được những gì xảy ra hôm nay. Trên Facebook, tôi thấy thông báo rằng tôi đã được chọn tham gia chương trình thực tế nổi tiếng của Việt Nam. Tôi click vào liên kết và đọc kỹ thông tin, nhưng vẫn cảm thấy như đang mơ. Họ sẽ quay bộ phim ở nhà tôi và tôi sẽ có cơ hội làm việc cùng các diễn viên nổi tiếng. Tôi chưa bao giờ tưởng tượng mình sẽ có thể xuất hiện trên truyền hình, và bây giờ nó đã trở thành thực tế. Tôi cảm thấy như đang sống trong một giấc mơ, nhưng tôi biết rằng tôi cần phải tỉnh táo và chuẩn bị sẵn sàng cho những gì sắp tới. Tôi hy vọng mình không đang mơ, và mọi thứ sẽ trở thành thật.",Enjoyment
