id,text,label,label_source,model,model_id,template_id,van_phong,do_dai,ngu_canh
llama-Enjoyment-0195,"Hôm nay là ngày cuối cùng trong tháng mà tôi đã thực hiện kế hoạch tiết kiệm của mình. Tôi đã quyết định dành một phần thu nhập để tiết kiệm vào tài khoản ngân hàng, và đến giờ tôi vẫn chưa từng thất bại trong việc này. Với cảm giác tự tin và hài lòng, tôi đã kiểm tra số tiền đã tích lũy được trong tháng qua và thấy rằng tôi đã đạt được mục tiêu của mình.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"trang trọng, chỉn chu như viết thư","ngắn (2-3 câu, khoảng 30-60 chữ)","tài chính, chi tiêu"
llama-Enjoyment-0196,"Tôi vừa nhận được tin tức tuyệt vời về việc tôi đã thanh toán nợ tiền nhà trong tháng qua. Sau khi làm việc chăm chỉ và tiết kiệm nghiêm túc, tôi đã hoàn thành được mục tiêu này mà không cần nhờ đến khoản vay. Tôi vẫn nhớ khi bắt đầu cuộc sống độc lập, tôi luôn lo lắng về việc chi trả các khoản nợ và chi tiêu hàng tháng. Nhưng bây giờ, cảm giác nhẹ nhõm và tự tin đang bao quanh tôi mỗi ngày. Tôi có thể nhìn lại những khó khăn và thử thách mà mình đã vượt qua, và cảm thấy tự hào về bản thân vì đã làm được điều đó. Tôi biết rằng việc quản lý tài chính hiệu quả không chỉ giúp tôi yên tâm về tài chính mà còn mang lại cho tôi cơ hội để tập trung vào các mục tiêu dài hạn khác.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"người lớn, điềm tĩnh, câu văn đầy đủ","dài (7-10 câu, khoảng 110-180 chữ)","tài chính, chi tiêu"
llama-Enjoyment-0197,"Ngày hôm nay thật tuyệt vời! Tôi vừa hoàn thành dự án công việc cuối cùng trước kỳ nghỉ hè và giờ có thể tập trung vào việc thư giãn. Tôi quyết định đi bộ đến công viên gần nhà để tận hưởng không khí trong lành. Khi đang đi dạo, tôi chợt nhìn thấy một nhóm trẻ con đang chơi đùa bên đường. Một đứa trẻ đã rơi cuốn sách giáo khoa của mình, và cả nhóm trẻ đều quên mất nó trong lúc bối rối. Tôi đã nhanh chóng chạy lên và đưa cuốn sách cho đứa trẻ đó, và cả nhóm trẻ đều bật cười và cảm ơn tôi. Sau đó, tôi tiếp tục đi bộ và thấy mình có thể tận hưởng không khí trong lành mà không còn lo lắng về công việc nữa.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"hài hước, tự trào","vừa (4-6 câu, khoảng 60-110 chữ)",chuyện nhỏ trong ngày
llama-Enjoyment-0198,"Tôi vừa nhận được kết quả thi đại học và tôi thực sự bất ngờ! Tôi đã dành cả năm trời học tập chăm chỉ, ôm đồm vào sách vở và cuối cùng cũng đạt được điểm cao hơn tôi dự đoán. Tôi cảm thấy tự hào khi nhìn lại bản thân, nhớ lại những lúc phải thức trắng đêm để ôn lại lý thuyết. Tôi thậm chí còn tự trào về mình khi thấy điểm số của mình đã cải thiện đáng kể so với lần thi trước. Tôi biết đó không phải là kết quả dễ dàng, nhưng tôi cũng biết mình đã nỗ lực hết sức mình. Tôi đã làm tất cả những gì có thể để chuẩn bị cho kỳ thi này và cuối cùng cũng đạt được thành công. Tôi không thể chờ đợi ngày tôi bắt đầu học ở trường đại học.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"hài hước, tự trào","dài (7-10 câu, khoảng 110-180 chữ)","học tập, thi cử"
llama-Enjoyment-0199,"Hôm nay là ngày cuối cùng tôi thực tập tại công ty này, và tôi không thể tin được mình đã hoàn thành được công việc mà ban đầu tôi nghĩ sẽ là quá khó khăn. Tôi đã có cơ hội được làm việc với một đội ngũ chuyên nghiệp và tận tâm, và tôi học hỏi được rất nhiều điều từ họ. Khi xem xét lại công việc của mình trong suốt thời gian thực tập, tôi thấy mình đã thực sự phát triển được kỹ năng và kiến thức của mình. Tôi cảm thấy tự hào khi nghĩ về những gì mình đã đạt được trong thời gian ngắn ngủi này. Tôi hy vọng rằng kinh nghiệm này sẽ giúp tôi trở nên tốt hơn trong công việc sau này.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"trang trọng, chỉn chu như viết thư","vừa (4-6 câu, khoảng 60-110 chữ)","công việc, thực tập"
llama-Sadness-0000,"Hôm nay là ngày cuối cùng của tháng sáu, nhưng tôi vẫn còn một khoản nợ tiền thuê nhà chưa thanh toán được. Mặc dù tôi đã cố gắng tìm kiếm các cơ hội việc làm mới để tăng thu nhập và giảm chi phí sinh hoạt, nhưng vẫn chưa thể vượt qua khó khăn này. Tôi đã phải cắt giảm rất nhiều chi phí nhỏ, từ việc không mua cà phê mỗi sáng đến việc không xem phim trong rạp. Mỗi khi nhìn thấy đồng tiền trong túi, tôi lại cảm thấy nặng nề vì nghĩ về những gì tôi phải hy sinh để có thể trả nợ. Tôi không thể quên được cảm giác xấu hổ khi phải đối mặt với chủ nhà và xin gia hạn deadline trả nợ lần nữa. Tôi biết rằng tôi không thể tiếp tục sống trong trạng thái này mãi mãi, nhưng tôi cũng không biết cách nào để thoát khỏi nó.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"trang trọng, chỉn chu như viết thư","dài (7-10 câu, khoảng 110-180 chữ)","tài chính, chi tiêu"
llama-Sadness-0001,"Tôi vẫn không thể quên hình ảnh anh ấy ngồi cạnh tôi trên xe bus đến trường. Lần đầu tiên chúng ta có cơ hội gặp nhau sau khi học chung lớp 5 năm nay. Tôi đã mơ ước được biết anh ấy tốt lâu nay, nhưng giờ anh ấy đã chuyển sang lớp khác. Tôi chỉ có thể nhìn thấy anh ấy từ xa, không thể nào trò chuyện hoặc nói chuyện với anh ấy. Tôi cảm thấy thật buồn bã khi nghĩ về những gì sẽ xảy ra nếu anh ấy ở lại cùng lớp với tôi. Tôi không biết liệu mình có thể gặp lại anh ấy bao giờ hay không.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"tuổi teen, ngôn ngữ đời thường, nhiều từ viết tắt","vừa (4-6 câu, khoảng 60-110 chữ)",chuyện tình cảm
llama-Sadness-0002,"Tôi vẫn ngồi tại bàn làm việc, nhìn thấy chiếc máy tính của mình với màn hình đen tuyền. Ngày hôm nay là ngày cuối cùng của chương trình thực tập ở công ty này. Tôi cảm thấy thật khó khăn khi nghĩ về việc rời xa mọi người và môi trường làm việc mà tôi đã gắn bó trong những tháng qua. Tôi đã dành rất nhiều thời gian và công sức để hoàn thành nhiệm vụ được giao, nhưng dường như tất cả đều vô nghĩa khi biết rằng sau hôm nay tôi sẽ không còn nữa. Tôi đã từng hy vọng rằng đây sẽ là bước đệm quan trọng cho sự nghiệp của mình, nhưng bây giờ tôi chỉ cảm thấy tuyệt vọng. Tôi vội vàng đóng máy tính và rời khỏi văn phòng, không muốn nhìn thấy bất cứ thứ gì còn lại.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"trang trọng, chỉn chu như viết thư","vừa (4-6 câu, khoảng 60-110 chữ)","công việc, thực tập"
llama-Sadness-0003,"Tôi vẫn còn nhớ ngày tôi quyết định dứt khoát chấm dứt mối quan hệ với anh ấy. Tôi không thể nào quên được giọng nói đầy chua chát khi anh ấy nói rằng tôi quá ""đơn giản"" để có thể hiểu được những gì anh ấy đang tìm kiếm. Sau khi chia tay, tôi đã lãng quên mọi thứ, từ những kỷ niệm đẹp đến những lần cãi nhau. Chỉ có một điều khiến tôi nhớ về anh ấy: chiếc áo khoác mà tôi đã quên ở quán cà phê của chúng ta.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"hài hước, tự trào","ngắn (2-3 câu, khoảng 30-60 chữ)",chuyện tình cảm
llama-Sadness-0004,"Hôm nay tôi lại bị thất nghiệp, cuộc sống bấp bênh khiến tôi không thể yên tâm về tương lai. Tôi đã chi tiêu một phần lớn thu nhập vào cuối tuần để đi ăn và xem phim, nhưng giờ tôi phải nghĩ về việc tiết kiệm lại càng trở nên khó khăn. Tôi đã vay mượn bạn bè, nhưng số tiền đó đã được sử dụng vào những thứ vô bổ. Tôi biết tôi phải thay đổi cách chi tiêu của mình, nhưng nó thật khó khăn khi tôi vẫn còn nhớ những thời gian vui vẻ với bạn bè. Mỗi lần tôi nhìn thấy những món đồ mà tôi đã mua trước đây, tôi lại cảm thấy có lỗi với bản thân.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"người lớn, điềm tĩnh, câu văn đầy đủ","vừa (4-6 câu, khoảng 60-110 chữ)","tài chính, chi tiêu"
llama-Sadness-0005,"Hôm nay, tôi lại bị ""xóa tin"" trên Facebook mà không rõ lý do. Một bài viết quan trọng mà tôi đã mất hàng giờ để viết đã biến mất khỏi trang cá nhân của mình. Tôi không biết ai có thể đã xóa nó, nhưng điều đó không quan trọng. Quan trọng là cảm giác tuyệt vọng và cô đơn mà tôi cảm thấy khi nhìn thấy những bài viết trước đây vẫn còn, trong khi bài viết mới của tôi đã mất. Tôi đã cố gắng nhớ lại toàn bộ nội dung của nó, nhưng nó đã biến mất cùng với nó. Tôi cảm thấy như đang sống trong một thế giới vô nghĩa, nơi mọi thứ có thể biến mất bất cứ lúc nào mà không cần lý do.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"người lớn, điềm tĩnh, câu văn đầy đủ","vừa (4-6 câu, khoảng 60-110 chữ)",mạng xã hội
llama-Sadness-0006,"Hôm nay tôi thức dậy thấy nắng mùa hè rọi vào cửa sổ, nhưng tâm trạng tôi lại rất u ám. Cơn mưa đầu mùa đã kết thúc, nhưng tôi vẫn còn nhớ cảm giác mát mẻ khi đi ngoài vườn vào buổi sáng hôm qua. Giờ đây chỉ có nắng nóng và không khí nặng nề khiến tôi cảm thấy khó chịu. Tôi đã lỡ cơ hội để tận hưởng cái đẹp của mưa và cái mát của không khí đầu mùa. Bây giờ tôi chỉ biết ngồi đây và nhìn qua cửa sổ, thấy ánh nắng chiếu vào những cánh cửa đóng kín.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"thân mật, xưng hô suồng sã như nói chuyện với bạn thân","ngắn (2-3 câu, khoảng 30-60 chữ)","thời tiết, mùa trong năm"
llama-Sadness-0007,"Tôi vẫn ngồi đây, nhìn qua cửa sổ, thấy trời mưa buốt, giếng nước bên ngoài chảy sầm. Mùa thu đã đến, nhưng tôi chẳng thấy gì khác ngoài cảm giác u ám. Tôi nhớ những ngày hè nóng bức, khi ấy chúng tôi vẫn tụ tập cùng nhau, đùa giỡn trong vườn, trong lúc mẹ tôi nấu ăn dưới nắng.

Hôm nay, tôi thức dậy sớm, thấy nhà cửa trong bóng tối, chỉ có ánh đèn bàn nhỏ ở bàn làm việc của bố. Tôi biết bố đã đi làm sớm để tránh mưa, còn mẹ thì đã đi chơi cùng chị gái. Tôi cảm thấy cô đơn, thấy không khí trong nhà quá yên tĩnh.

Tôi đi xuống bếp, thấy nhào bột không ngon, và nhìn lên thấy hình ảnh gia đình chúng tôi lúc trước. Những ngày đó, chúng tôi vẫn ngồi cùng nhau ăn sáng, trò chuyện về kế hoạch cho ngày hôm sau. Bây giờ, không ai còn ở nhà, mọi thứ đều quá yên ắng.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"tuổi teen, ngôn ngữ đời thường, nhiều từ viết tắt","dài (7-10 câu, khoảng 110-180 chữ)","thời tiết, mùa trong năm"
llama-Sadness-0008,"Tôi đang nằm trên giường, nhìn qua cửa sổ thấy nắng chiều dần tắt, ngày hôm qua lại biến mất khỏi trí nhớ như một giấc mơ không thực. Mình đã sẵn sàng cho mùa hè nóng bức này từ tháng trước, mua thêm một bộ quần áo mùa đông dự phòng, nhưng rồi tôi lại nhận được tin tức về một đợt giá điện tăng vọt sắp tới. Mình không thể nào chịu nổi cái cảm giác như thế.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"hài hước, tự trào","vừa (4-6 câu, khoảng 60-110 chữ)","thời tiết, mùa trong năm"
llama-Sadness-0009,"Tôi đang ngồi trong phòng, nhìn qua cửa sổ thấy những cây hoa mai đang rơi lá, như thể đang nhắc tôi về những lúc trước đây. Tôi nghĩ về những ngày tháng tôi và Linh cùng nhau đi chơi, cười đùa, chia sẻ niềm vui và nỗi buồn. Bây giờ, tôi vẫn còn nhớ những điều đó, nhưng cũng biết rằng những thời gian đẹp đẽ đó đã đi mãi rồi.

Tôi không hiểu tại sao Linh lại bỏ cuộc như vậy. Chúng ta từng là những người bạn thân thiết, luôn hỗ trợ và tin tưởng lẫn nhau. Nhưng bây giờ, khi tôi cần đến, cô ấy đã không còn ở bên cạnh tôi. Tôi cảm thấy tuyệt vọng và cô đơn, như thể bị bỏ rơi một mình trong cuộc đời.

Tôi thử liên lạc với Linh qua điện thoại, nhưng số máy của cô ấy đã bị tắt. Tôi không thể giúp được gì hơn ngoài việc mong chờ một dấu hiệu nào đó từ phía cô ấy. Những ngày qua, tôi vẫn tiếp tục hy vọng sẽ được gặp lại, nhưng nó cứ trôi qua mà không có kết quả. Bây giờ, tôi chỉ có thể ngồi đây, nhìn vào những lá hoa mai rụng, và tự hỏi liệu có ngày nào tôi lại thấy được ánh nắng mặt trời ấm áp và tình bạn chân thành của Linh hay không?",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"người lớn, điềm tĩnh, câu văn đầy đủ","dài (7-10 câu, khoảng 110-180 chữ)",tình bạn
llama-Sadness-0010,"Tôi vừa rời khỏi căn hộ sau khi nói chuyện với Linh. Chưa bao giờ tôi cảm thấy cô ấy xa cách đến vậy. Chúng tôi đã cùng nhau sống trong căn hộ này ba năm nay, nhưng bây giờ nó dường như trở thành một nơi cô độc. Tôi không thể hiểu tại sao Linh lại muốn di chuyển ra ngoài thành phố, để lại tôi một mình. Tôi nhớ lại những lúc chúng tôi cùng nhau nấu ăn, xem phim, và chia sẻ những bí mật riêng tư. Bây giờ, căn hộ trống trải, chỉ có những âm thanh vang vọng trong không gian. Tôi cảm thấy thất vọng và không biết làm thế nào để đối mặt với tình huống này.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"trang trọng, chỉn chu như viết thư","vừa (4-6 câu, khoảng 60-110 chữ)",tình bạn
llama-Sadness-0011,"Hôm nay, tôi thức dậy muộn, chỉ còn một chút thời gian để chuẩn bị cho buổi học. Tôi nhìn lên giường và thấy chiếc giày của mẹ vẫn còn nằm đó, tôi biết là cô ấy đã quên nó sau khi đi làm vào sáng sớm. Tôi cảm thấy một luồng khó chịu chảy qua cơ thể, khiến tôi không thể tập trung vào bất kỳ điều gì.

Tôi cố gắng tập trung vào việc học nhưng não tôi cứ nghĩ về mẹ và việc cô ấy đã quên chiếc giày của mình. Tôi biết rằng cô ấy đã quá bận rộn với công việc và không có nhiều thời gian để quan tâm đến những chi tiết nhỏ. Nhưng trong lúc này, tôi không thể không cảm thấy thất vọng và buồn bã vì đã không thể giúp đỡ mẹ trong việc này.

Tôi nhìn ra ngoài cửa sổ và thấy nắng đang chiếu vào phòng, nhưng tôi không thể tận hưởng nó vì tâm trí tôi đang bị chiếm hữu bởi những suy nghĩ tiêu cực. Tôi biết rằng tôi cần phải tự điều chỉnh và tập trung vào việc học, nhưng trong lúc này, tôi không thể làm được.

Tôi tiếp tục cố gắng học, nhưng ý tưởng và hình ảnh liên quan đến mẹ và chiếc giày của cô ấy vẫn cứ xuất hiện trong đầu tôi. Tôi hy vọng sẽ có thể vượt qua được những suy nghĩ này và bắt đầu một ngày mới tốt đẹp hơn.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"nghiêm túc, trầm tư","dài (7-10 câu, khoảng 110-180 chữ)",chuyện nhỏ trong ngày
llama-Sadness-0012,"Tôi ngồi tại bàn làm việc, nhìn lên tranh vẽ phong cảnh đồng áng mà bố tôi đã tặng tôi vào dịp sinh nhật năm ngoái. Tranh vẽ vẫn còn nguyên vẹn, nhưng tôi biết rằng nó sẽ sớm bị quên lãng khi tôi phải di chuyển đến công ty mới để bắt đầu thực tập. Tôi vừa mới nhận được thông tin từ giám đốc rằng công ty đã quyết định giảm số lượng thực tập sinh xuống một nửa, và tôi không may rơi vào danh sách những người bị loại.

Tôi cảm thấy như đang đứng ở đáy vực, không biết phải làm gì. Tất cả những giờ đồng hồ tôi đã dành cho việc chuẩn bị, nghiên cứu và phỏng vấn đều trở nên vô nghĩa. Tôi nhớ lại từng lời khuyên của thầy giáo về cách xây dựng hồ sơ xin việc, cách trả lời các câu hỏi phỏng vấn và cách thể hiện bản thân trong môi trường làm việc. Tất cả đều trở nên vô giá trị bây giờ.

Tôi nhìn xung quanh phòng làm việc, thấy những người bạn cùng lớp của tôi vẫn còn ngồi tại chỗ, tiếp tục làm việc với niềm tin rằng họ sẽ được chọn. Tôi biết rằng tôi không thể trách họ, nhưng tôi cũng không thể tránh khỏi cảm giác thất vọng và cô đơn. Tôi cảm thấy mình đang bị bỏ rơi, như đang đứng ngoài cuộc chơi.

Tôi biết rằng tôi cần phải đứng dậy, bước ra khỏi phòng và tiếp tục tìm kiếm cơ hội khác. Nhưng hiện tại, tôi chỉ muốn nằm xuống và khóc.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"người lớn, điềm tĩnh, câu văn đầy đủ","dài (7-10 câu, khoảng 110-180 chữ)","công việc, thực tập"
llama-Sadness-0013,"Hôm nay tôi lại thất bại khi làm bài thuyết trình về dự án cuối kỳ. Tôi đã dành cả tuần để chuẩn bị nhưng vẫn không thể thuyết phục được giám khảo. Sau khi nghe kết quả, tôi cảm thấy mình chỉ còn biết xấu mặt. Tôi không hiểu tại sao mình lại không thể thể hiện được hết khả năng của mình. Tôi cảm thấy tủi thân khi nhìn thấy đồng nghiệp khác của mình nhận được giải thưởng cao.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"thân mật, xưng hô suồng sã như nói chuyện với bạn thân","ngắn (2-3 câu, khoảng 30-60 chữ)","công việc, thực tập"
llama-Sadness-0014,"Tôi vừa lên mạng xã hội và thấy cô bạn gái cũ của tôi đã đăng ảnh cưới. Tôi không thể tin được mình vừa làm được việc đó. Tôi đã nghĩ rằng mình đã quên mất cô ấy, nhưng nó không hề đúng. Tôi vẫn còn nhớ tất cả những chi tiết nhỏ nhặt về cô ấy, từ mùi hương của cà phê cô ấy yêu thích đến cách cô ấy luôn để lại dấu chân trên sàn nhà khi vào nhà tôi. Tôi cảm thấy như mình đang sống trong một bản sao của thực tại, nơi mà mọi thứ đều giống nhau nhưng không có sự thật đằng sau. Tôi nhìn vào ảnh của cô ấy và thấy mình vẫn còn là một phần của cuộc sống cô ấy, dù chỉ là một kỷ niệm xa xôi. Tôi không thể quên được ngày chúng tôi cùng xem phim tại nhà tôi, hoặc khi chúng tôi đi dạo cùng nhau. Tôi biết mình sẽ không bao giờ quên được cô ấy. Tôi chỉ mong mình có thể quay trở lại quá khứ và sửa đổi những điều đã xảy ra.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"hài hước, tự trào","dài (7-10 câu, khoảng 110-180 chữ)",mạng xã hội
llama-Sadness-0015,"Tôi vừa đi học xong và quay về nhà. À, còn gì nữa? Mẹ bảo tôi chuẩn bị bữa cơm tối vì hôm nay bố không thể về trước, lại có việc phải đi công tác xa. Tôi cảm thấy buồn bã khi nghĩ về việc bố không thể tham gia vào các hoạt động gia đình như mọi lần. Tôi đã cố gắng giúp mẹ nấu nướng nhưng cảm giác vẫn không ổn chút nào. Tôi nhớ những lúc bố còn ở nhà, chúng tôi luôn có những cuộc trò chuyện thú vị sau bữa cơm tối. Bây giờ, tôi cảm thấy thiếu vắng bóng người ấy. Tôi ngồi trong phòng, nhìn thấy chiếc bàn ăn đã được bố mẹ dọn sạch, cảm thấy thật là cô đơn. Tôi mong bố sớm trở về, để chúng tôi có thể tận hưởng thời gian bên nhau.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"tuổi teen, ngôn ngữ đời thường, nhiều từ viết tắt","dài (7-10 câu, khoảng 110-180 chữ)",chuyện nhỏ trong ngày
llama-Sadness-0016,"Ngày nay, tôi vẫn còn nhớ những kỷ niệm đẹp bên bạn gái cũ của mình. Chúng ta đã cùng nhau xây dựng một mối quan hệ đẹp, đầy yêu thương và chia sẻ. Tuy nhiên, do sự khác biệt trong quan điểm sống và giá trị, chúng ta đã quyết định chia tay. Tôi vẫn còn nhớ ngày cuối cùng chúng ta gặp nhau, tôi đã cố gắng thuyết phục cô ấy quay trở lại, nhưng cô ấy đã quyết định đi về một cách chắc chắn.

Tôi đã dành cả đêm để suy ngẫm về cuộc chia tay của chúng ta. Tại sao chúng ta lại không thể vượt qua khó khăn? Tại sao chúng ta lại không thể tìm thấy một giải pháp cho mọi vấn đề? Tôi vẫn còn nhớ những lời nói dạt dào, những lá thư tình thắm thiết mà chúng ta đã trao đổi với nhau. Tôi không thể hiểu tại sao chúng ta lại phải xa cách như vậy.

Tôi đã thử liên lạc với cô ấy sau khi chia tay, nhưng cô ấy đã không hồi đáp. Tôi biết rằng cô ấy cần thời gian để suy ngẫm và tự hỏi bản thân, nhưng tôi vẫn không thể quên được những kỷ niệm đẹp bên cạnh cô ấy. Tôi vẫn còn nhớ mùi hương của cô ấy, âm thanh của giọng nói cô ấy, và cảm giác ấm áp khi cô ấy ôm tôi. Tôi vẫn còn nhớ tất cả mọi thứ về cô ấy.

Ngày hôm nay, tôi cảm thấy rất cô đơn. Tôi biết rằng cuộc sống vẫn tiếp tục diễn ra, nhưng tôi không thể chấp nhận sự thật rằng chúng ta không còn bên cạnh nhau nữa. Tôi hy vọng rằng một ngày nào đó, chúng ta sẽ gặp lại và có thể xây dựng lại mối quan hệ đẹp của chúng ta.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"trang trọng, chỉn chu như viết thư","dài (7-10 câu, khoảng 110-180 chữ)",mạng xã hội
llama-Sadness-0017,"Tôi ngồi trên giường, nhìn vào điện thoại và thấy thông báo từ bác sĩ về kết quả xét nghiệm. Tôi đã chờ đợi suốt tuần, nhưng khi đọc được những chữ in hoa ""Bệnh lý"", tôi cảm thấy một khối đau đớn trong lòng. Tôi đã dành cả cuộc đời để xây dựng một công việc ổn định, nhưng tất cả đều có thể bị hủy hoại bởi một bệnh lý không thể kiểm soát. Tôi không biết làm thế nào để đối mặt với tương lai này.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"thân mật, xưng hô suồng sã như nói chuyện với bạn thân","ngắn (2-3 câu, khoảng 30-60 chữ)",sức khỏe
llama-Sadness-0018,"Hôm nay em nhận được hóa đơn tiền điện tháng này và thấy số tiền quá cao so với tháng trước. Em không hiểu sao điện của em tăng lên đến hơn 500 nghìn đồng, trong khi tháng trước chỉ có hơn 300 nghìn đồng. Em không thể nào chịu nổi khi phải cắt giảm chi tiêu nữa để trang trải cho hóa đơn này.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"tuổi teen, ngôn ngữ đời thường, nhiều từ viết tắt","ngắn (2-3 câu, khoảng 30-60 chữ)","tài chính, chi tiêu"
llama-Sadness-0019,"Tôi vừa nhận được kết quả điểm thi đại học và tôi thật sự thất vọng. Tôi đã dành nhiều năm trời để chuẩn bị, ôn luyện và tin rằng mình có thể đạt được điểm cao, nhưng kết quả cuối cùng lại không như tôi mong muốn. Tôi cảm thấy như mình đã bỏ lỡ cơ hội và phải tiếp tục cố gắng trong tương lai.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"trang trọng, chỉn chu như viết thư","ngắn (2-3 câu, khoảng 30-60 chữ)","học tập, thi cử"
llama-Sadness-0020,"Hôm nay tôi đã phải chịu đựng một ngày thật tuyệt vọng. Sáng sớm, bác sĩ đã thông báo với tôi rằng tình trạng bệnh lý của cha mẹ tôi đã trở nên nghiêm trọng hơn, và họ cần được điều trị gấp tại bệnh viện. Tôi đã phải đưa họ đến bệnh viện ngay lập tức, trong khi đó tôi vẫn còn đang uất ức vì việc này.

Tôi nhớ lại những lúc trước đây khi cả nhà chúng tôi vẫn còn mạnh mẽ và khỏe khoắn, nhưng bây giờ mọi thứ đã thay đổi. Cha mẹ tôi luôn luôn là những người mà tôi trân trọng và kính phục, và việc nhìn thấy họ đang phải đối mặt với nguy cơ mất mát này đã khiến tôi rất đau khổ.

Khi đến bệnh viện, tôi đã phải chờ đợi lâu để được gặp bác sĩ. Trong lúc đó, tôi vẫn còn đang lo lắng và bận rộn với việc sắp xếp mọi thứ. Tôi không thể giúp gì được cho cha mẹ tôi ngoài việc đưa họ đến bệnh viện và theo dõi tình hình của họ.

Tôi chỉ có thể ngồi đó, nhìn vào hình ảnh của họ và chờ đợi kết quả. Tình trạng của họ vẫn còn chưa rõ ràng, và tôi không thể làm gì được ngoài việc hy vọng và cầu nguyện cho sự hồi phục của họ.

Tôi vẫn còn đang nhớ lại những lúc trước đây khi cả nhà chúng tôi vẫn còn mạnh mẽ và khỏe khoắn. Những lúc như thế đã trở thành ký ức xa xôi và không thể quay trở lại. Bây giờ, mọi thứ đã thay đổi và tôi chỉ có thể ngồi đó, chờ đợi kết quả.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"trang trọng, chỉn chu như viết thư","dài (7-10 câu, khoảng 110-180 chữ)",sức khỏe
llama-Sadness-0021,"Tôi vẫn chưa thể quên được giọng cười của Hà khi chúng ta học chung ở trường đại học. Chúng tôi thường xuyên gặp nhau sau giờ học và trò chuyện về những điều vô nghĩa. Nhưng rồi, chúng ta quyết định đi vào con đường khác nhau và tôi không bao giờ thấy mặt Hà sau đó. Tôi chỉ có thể nhớ lại những lần chúng ta cùng nhau đi bộ trên đường trường, tận hưởng không khí mát mẻ của mùa thu. Bây giờ, tôi thường xuyên cảm thấy thiếu vắng sự hiện diện của Hà trong cuộc sống hàng ngày của mình.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"thân mật, xưng hô suồng sã như nói chuyện với bạn thân","ngắn (2-3 câu, khoảng 30-60 chữ)",tình bạn
llama-Sadness-0023,"Tôi vừa nhìn thấy những hình ảnh trên Facebook của cựu bạn học, dường như đã sống một cuộc đời hoàn toàn khác. Họ đang tận hưởng những khoảnh khắc tuyệt vời với gia đình và bạn bè, trong khi tôi vẫn còn đang đứng ở nơi này, cảm thấy như mình đã bỏ lỡ cơ hội. Tôi không thể hiểu tại sao cuộc sống lại có thể trôi qua một cách nhanh chóng như vậy, mà tôi lại không thể chia sẻ được những khoảnh khắc đó.",Sadness,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"người lớn, điềm tĩnh, câu văn đầy đủ","ngắn (2-3 câu, khoảng 30-60 chữ)",mạng xã hội
